Episode,Total Reward,Agent 0 Reward,Agent 1 Reward,Agent 2 Reward,Agent 3 Reward,Agent 4 Reward,Agent 5 Reward,Agent 6 Reward,Agent 7 Reward
0,[371.93772765],[66.24824166],[68.47076899],[61.83260238],[53.91749226],[44.25330458],[-6.14717156],[68.39088739],[14.97160195]
1,[591.47064548],[113.80175025],[94.96230575],[42.66278941],[46.21053694],[95.18000848],[-10.25793506],[86.23913004],[122.67205968]
2,[189.38146164],[40.6533752],[13.85287466],[55.42750374],[-30.03128023],[26.78165458],[-44.92145805],[58.50296845],[69.11582328]
3,[309.01480449],[19.30900945],[10.71948135],[97.11345031],[24.20166382],[76.91945425],[-25.19302325],[49.84464454],[56.10012403]
4,[-958.11457086],[-77.16445215],[-119.47856359],[-136.87056268],[-109.40518476],[-110.84662934],[-178.94994623],[-100.76573713],[-124.63349498]
5,[-417.78346977],[-37.40716314],[-41.2729139],[-35.89485567],[-37.86036627],[-38.84068551],[-112.86686593],[-65.75654433],[-47.88407501]
6,[616.45501964],[53.03849833],[82.60733621],[95.67895107],[90.51422871],[121.57863045],[8.9646437],[76.85021978],[87.22251138]
7,[717.54802627],[110.66855156],[110.43293525],[91.29420869],[96.81374524],[104.85888587],[25.32253611],[103.86337837],[74.29378517]
8,[147.46216932],[5.72904889],[3.63076175],[15.39024297],[32.49954543],[38.7621611],[-44.68291299],[52.80484281],[43.32847937]
9,[636.94119054],[115.40791637],[91.80888877],[106.33626739],[55.51317548],[77.59469208],[22.37480748],[80.02308775],[87.88235523]
10,[533.64417427],[74.73647418],[42.06120425],[103.98629662],[72.17754434],[45.25352016],[13.71213751],[90.38370798],[91.33328922]
11,[582.58029733],[74.12069927],[90.53516444],[76.38530467],[74.66785061],[45.90380959],[10.66942822],[97.49575916],[112.80228137]
12,[319.02422487],[29.25023916],[39.50410256],[44.73503254],[35.94798911],[79.51854908],[-25.81607066],[53.74617473],[62.13820835]
13,[493.95110578],[118.91061394],[74.07691047],[68.37645325],[49.11397459],[79.67383949],[-16.12527433],[57.17356574],[62.75102263]
14,[634.86849636],[65.80134008],[78.70303784],[109.29607156],[93.10320356],[86.56411108],[29.91889035],[81.92026686],[89.56157503]
15,[511.70526654],[70.51209279],[95.9434722],[86.76413377],[86.49508276],[96.33972173],[-11.77134356],[33.54627957],[53.87582728]
16,[459.25459251],[77.74680328],[60.22559566],[46.81146458],[66.63741674],[58.03856491],[-1.71040201],[89.4546486],[62.05050076]
17,[548.75625118],[81.27073168],[56.3998336],[55.97405106],[97.5508863],[84.01003439],[-3.80896284],[67.52421032],[109.83546668]
18,[413.40566033],[71.56247587],[76.3405908],[25.29032429],[34.49476441],[68.06889317],[-18.95438948],[77.84337456],[78.75962672]
19,[669.52142858],[107.40006419],[94.01618266],[101.77468882],[82.89807637],[78.88038248],[4.08906976],[98.25112501],[102.2118393]
20,[37.17968321],[8.32066319],[16.50844263],[49.86851881],[-33.3240191],[4.64141102],[-72.31295267],[38.90839527],[24.56922406]
21,[637.03193094],[104.59376081],[86.53813463],[101.81850218],[67.8867374],[84.80443455],[28.85333936],[65.1265777],[97.41044431]
22,[507.51727087],[131.76378978],[75.9229604],[48.74230536],[36.35734451],[59.65364503],[-17.82666888],[92.1644008],[80.73949388]
23,[589.3448055],[58.68895667],[67.77124159],[123.89267078],[44.58328256],[115.32689386],[18.61369899],[95.04817695],[65.4198841]
24,[-213.81040417],[-59.16168474],[-14.89340251],[-27.62894478],[-43.58528033],[31.90000841],[-76.06596889],[-15.69423936],[-8.68089197]
25,[529.28362682],[66.29531968],[43.74689154],[77.84559649],[68.09308183],[57.07138737],[-6.2673195],[108.61263482],[113.8860346]
26,[223.98437335],[23.88757094],[46.76865497],[20.74878206],[32.94523936],[34.0838487],[-29.30949418],[19.94372081],[74.91605069]
27,[454.37935253],[55.96334435],[95.82505266],[69.82984413],[45.32208515],[79.59917979],[-7.36792844],[64.20003912],[51.00773577]
28,[603.33137315],[91.64112342],[99.19715274],[75.824067],[81.54546935],[49.80853665],[27.62929075],[78.45573667],[99.22999657]
